;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region
67;tt0078918;The Bushido Blade;The Bushido Blade;1981;104.0;['Action', 'Drama', 'History'];US
68;tt0078923;It's Not Me, It's Him;C'est pas moi, c'est lui;1980;105.0;['Comedy'];US
69;tt0078926;The Good Thief;Il ladrone;1980;108.0;['Comedy'];US
70;tt0078935;Cannibal Holocaust;Cannibal Holocaust;1980;95.0;['Adventure', 'Horror'];US
71;tt0078936;White Cannibal Queen;Mondo cannibale;1980;90.0;['Horror'];US
72;tt0078941;Carlos el terrorista;Carlos el terrorista;1980;97.0;['Action', 'Crime', 'Drama'];US
73;tt0078962;The Horse of Pride;Le cheval d'orgueil;1980;120.0;['Drama'];GB
74;tt0079007;The Cuenca Crime;El crimen de Cuenca;1980;88.0;['Drama', 'History'];US
75;tt0079090;The Conductor;Dyrygent;1980;101.0;['Drama', 'Music'];US
76;tt0079104;Emanuelle, Queen of Sados;I mavri Emmanouella;1980;91.0;['Crime', 'Drama'];US
77;tt0079106;The Imprint of Giants;L'empreinte des géants;1980;141.0;['Action', 'Drama', 'Romance'];FR
78;tt0079115;Escape from Hell;Femmine infernali;1980;93.0;['Adventure', 'Crime', 'Thriller'];US
79;tt0079145;La femme flic;La femme flic;1980;103.0;['Drama', 'Thriller'];FR
80;tt0079164;The Buddha Assassinator;Fo zhang huang ye;1980;93.0;['Action', 'Drama'];US
81;tt0079192;Hoodlums;Hoodlums;1980;90.0;['Crime', 'Drama'];US
82;tt0079193;The Garage;Garazh;1980;96.0;['Comedy', 'Drama'];US
83;tt0079197;Caged Women;Gefangene Frauen;1980;80.0;['Action', 'Adventure'];US
84;tt0079198;The Frozen Heart;Das gefrorene Herz;1980;108.0;['Comedy', 'Drama'];FR
85;tt0079213;Glück im Hinterhaus;Glück im Hinterhaus;1980;97.0;['Drama', 'Family'];US
86;tt0079246;Guaguasi;Guaguasi;1983;107.0;['Comedy', 'Drama', 'War'];US
87;tt0079252;Le Guignolo;Le guignolo;1980;108.0;['Action', 'Comedy'];US
88;tt0079256;HealtH;HealtH;1980;105.0;['Comedy'];US
89;tt0079258;Foam Bath;Habfürdö;1980;79.0;['Animation', 'Comedy', 'Drama'];US
90;tt0079260;Haine;Haine;1980;87.0;['Drama', 'Thriller'];US
91;tt0079285;Saturn 3;Saturn 3;1980;88.0;['Adventure', 'Horror', 'Sci-Fi'];US
92;tt0079293;Phoenix 2772;Hi no tori 2772: Ai no kosumozôn;1980;122.0;['Adventure', 'Animation', 'Drama'];US
93;tt0079309;Hot T-Shirts;Hot T-Shirts;1980;86.0;['Comedy'];US
94;tt0079323;Ich bin dein Killer;Ich bin dein Killer;1982;87.0;['Thriller'];FR
95;tt0079342;L'insegnante al mare con tutta la classe;L'insegnante al mare con tutta la classe;1980;88.0;['Comedy'];FR
96;tt0079358;Jade Dagger Ninja;Han shan fei hu;1982;90.0;['Action', 'Drama'];US
97;tt0079492;Lovespell;Lovespell;1981;91.0;['Drama', 'Fantasy', 'Romance'];US
98;tt0079497;Operation Leopard;La légion saute sur Kolwezi;1980;96.0;['Adventure', 'Drama', 'War'];US
99;tt0079507;Magnificent Wonderman;Jin hu men;1980;90.0;['Action', 'Drama'];FR
100;tt0079509;Fantasy Mission Force;Mi ni te gong dui;1983;90.0;['Action', 'Adventure', 'Comedy'];US
101;tt0079573;Monstroid;Monster;1980;98.0;['Horror', 'Sci-Fi'];US
102;tt0079579;Moscow Does Not Believe in Tears;Moskva slezam ne verit;1980;150.0;['Comedy', 'Drama', 'Romance'];US
103;tt0079586;Girl with the Golden Panties;La muchacha de las bragas de oro;1980;105.0;['Drama', 'Thriller'];US
104;tt0079617;The Truth on the Savolta Affair;La verdad sobre el caso Savolta;1980;120.0;['Drama'];FR
105;tt0079619;A Few Days from the Life of I.I. Oblomov;Neskolko dney iz zhizni I.I. Oblomova;1980;140.0;['Comedy', 'Drama', 'History'];US
106;tt0079624;Secrets of a French Maid;Die Nichten der Frau Oberst;1980;88.0;['Comedy'];US
107;tt0079630;A Nightingale Sang in Berkeley Square;A Nightingale Sang in Berkeley Square;1980;102.0;['Comedy', 'Crime'];US
108;tt0079694;Panelstory or Birth of a Community;Panelstory aneb Jak se rodí sídliste;1980;96.0;['Comedy'];US
109;tt0079706;Paydirt;Paydirt;1981;95.0;['Crime', 'Thriller'];US
110;tt0079718;Piedone d'Egitto;Piedone d'Egitto;1980;106.0;['Action', 'Comedy', 'Crime'];FR
111;tt0079719;The Pilot;The Pilot;1980;92.0;['Action', 'Drama'];US
112;tt0079735;The Rebel;Poliziotto solitudine e rabbia;1980;87.0;['Action', 'Crime', 'Drama'];FR
113;tt0079744;Getting to Know the Big, Wide World;Poznavaya belyy svet;1980;75.0;['Drama'];US
114;tt0079746;Der Preis fürs Überleben;Der Preis fürs Überleben;1980;103.0;['Drama'];FR
115;tt0079749;Adventures of Ali-Baba and the Forty Thieves;Alibaba Aur 40 Chor;1980;138.0;['Action', 'Adventure', 'Family'];US
116;tt0079760;The Donkey-Eared Prince;O Príncipe com Orelhas de Burro;1980;105.0;['Comedy', 'Fantasy'];US
117;tt0079765;Give Me Five;Qua la mano;1980;137.0;['Comedy'];FR
118;tt0079788;Zombie Holocaust;Zombi Holocaust;1980;84.0;['Adventure', 'Horror', 'Mystery'];US
119;tt0079799;A Married Woman;Retrato de una mujer casada;1982;92.0;['Drama', 'Thriller'];US
120;tt0079811;Rivals;Rivals;1981;110.0;['Drama'];US
121;tt0079820;The King and the Mockingbird;Le roi et l'oiseau;1980;83.0;['Animation', 'Family', 'Fantasy'];US
122;tt0079845;A Leap in the Dark;Salto nel vuoto;1980;120.0;['Drama', 'Romance'];US
123;tt0079854;Every Man for Himself;Sauve qui peut (la vie);1980;87.0;['Drama'];US
124;tt0079874;Never Never Land;Never Never Land;1980;85.0;['Drama', 'Family'];US
125;tt0079891;Shaolin Temple;Shao Lin si;1982;100.0;['Action', 'Comedy', 'Drama'];US
126;tt0079896;The Brave Archer III;She diao ying xiong chuan san ji;1981;92.0;['Action', 'Drama'];US
