;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region;averageRating;numVotes;weight_average
5177;tt0093675;Only a Buck;Only a Buck;1987;90.0;['Comedy'];US;7.8;27.0;0.0
4634;tt0092517;An African Dream;An African Dream;1988;93.0;['Drama'];US;6.7;20.0;0.0
4631;tt0092511;The Adventure of the Action Hunters;The Adventure of the Action Hunters;1986;90.0;['Action', 'Comedy'];US;5.0;65.0;0.0
4629;tt0092505;The Cello Teacher;L'insegnante di violoncello;1989;95.0;['Comedy'];US;4.4;72.0;0.0
5182;tt0093684;Ossegg oder Die Wahrheit über Hänsel und Gretel;Ossegg oder Die Wahrheit über Hänsel und Gretel;1987;82.0;['Comedy', 'Drama', 'Fantasy'];FR;5.3;11.0;0.0
5185;tt0093689;Outlaw Force;Outlaw Force;1987;95.0;['Action', 'Drama'];US;3.9;82.0;0.0
4179;tt0091296;Johann Strauss: The King Without a Crown;Johann Strauss - Der König ohne Krone;1987;124.0;['Drama', 'Musical'];US;4.4;59.0;0.0
4175;tt0091289;Jenny Kissed Me;Jenny Kissed Me;1985;98.0;['Drama'];US;6.8;30.0;0.0
3243;tt0088884;Carabinieri si nasce;Carabinieri si nasce;1985;91.0;['Comedy'];FR;2.4;59.0;0.0
3780;tt0090210;Trous de mémoire;Trous de mémoire;1985;83.0;['Drama'];FR;7.5;15.0;0.0
3581;tt0089745;Osa;Osa;1986;92.0;['Sci-Fi'];US;4.2;68.0;0.0
3578;tt0089737;Orfeo;Orfeo;1985;92.0;['Fantasy', 'Music'];FR;7.5;25.0;0.0
3571;tt0089719;Odd Birds;Odd Birds;1985;87.0;['Drama'];US;5.5;10.0;0.0
5907;tt0095477;L.A. Crackdown;L.A. Crackdown;1987;84.0;['Action', 'Crime', 'Drama'];US;3.6;75.0;0.0
5908;tt0095478;L.A. Crackdown II;L.A. Crackdown II;1988;83.0;['Action'];US;3.8;45.0;0.0
3564;tt0089706;Notre mariage;Notre mariage;1984;95.0;['Drama'];FR;5.7;37.0;0.0
3554;tt0089685;Night Magic;Night Magic;1985;95.0;['Fantasy', 'Musical'];US;6.3;47.0;0.0
5934;tt0095548;Lost in Amsterdam;Lost in Amsterdam;1989;110.0;['Drama'];US;5.8;45.0;0.0
5935;tt0095552;Lovers, Partners & Spies;Lovers, Partners & Spies;1988;60.0;['Crime', 'Drama'];US;7.4;7.0;0.0
5936;tt0095555;Lights and Shadows;Luces y sombras;1988;105.0;['Drama'];US;7.0;30.0;0.0
3532;tt0089611;Moi vouloir toi;Moi vouloir toi;1985;90.0;['Comedy', 'Drama', 'Romance'];FR;4.0;65.0;0.0
3518;tt0089577;Le meilleur de la vie;Le meilleur de la vie;1985;96.0;['Drama'];FR;5.2;50.0;0.0
5947;tt0095569;La maison de Jeanne;La maison de Jeanne;1988;85.0;['Comedy', 'Drama', 'Romance'];FR;6.3;26.0;0.0
5952;tt0095585;Mannigan's Force;Mannigan's Force;1988;81.0;['Action', 'Adventure', 'War'];US;4.0;45.0;0.0
3492;tt0089517;Love: Take Off;Ai: Tabidachi;1985;127.0;['Drama', 'Romance'];US;3.1;10.0;0.0
3491;tt0089515;Love with the Perfect Stranger;Choh dim yuen yeung;1985;89.0;['Comedy', 'Romance'];US;7.0;33.0;0.0
5961;tt0095615;The Beggars;Les mendiants;1987;90.0;['Drama'];FR;5.7;41.0;0.0
3472;tt0089467;Leave All Fair;Leave All Fair;1985;88.0;['Drama'];US;6.0;39.0;0.0
3588;tt0089758;Outtakes;Outtakes;1987;73.0;['Comedy'];US;4.3;65.0;0.0
5895;tt0095447;The Killing Game;The Killing Game;1988;90.0;['Drama'];US;4.4;45.0;0.0
3599;tt0089781;Passage secret;Passage secret;1985;85.0;['Drama'];FR;6.5;25.0;0.0
3678;tt0089958;Samuel Lount;Samuel Lount;1985;97.0;['Biography', 'Drama'];GB;6.5;37.0;0.0
3727;tt0090090;Strictly Personal;Strictement personnel;1985;90.0;['Drama'];US;5.4;55.0;0.0
5816;tt0095277;18 Times;Hao nu shi ba jia;1988;83.0;['Comedy', 'Drama'];US;5.9;36.0;0.0
5823;tt0095291;Three Wishes;Hei xin gui;1988;95.0;['Comedy', 'Horror'];US;5.8;32.0;0.0
5824;tt0095292;Shell Shock;Helem Krav;1988;96.0;['Drama'];US;6.8;11.0;0.0
5825;tt0095293;Hell Raiders;Hell Raiders;1988;93.0;['Action', 'War'];US;4.8;14.0;0.0
3693;tt0089996;Seven Wolves;Qi pi lang;1989;90.0;['Action', 'Comedy', 'Drama'];US;6.9;44.0;0.0
3690;tt0089992;Senza scrupoli;Senza scrupoli;1986;83.0;['Comedy', 'Drama'];FR;5.0;53.0;0.0
3689;tt0089988;Seijo densetsu;Seijo densetsu;1985;123.0;['Crime', 'Drama', 'Romance'];US;5.7;21.0;0.0
3673;tt0089942;Running Mates;Running Mates;1985;90.0;['Romance'];US;4.2;28.0;0.0
3609;tt0089806;Zhi fen zhi bing;Zhi fen zhi bing;1982;84.0;['Action', 'Drama'];US;4.9;28.0;0.0
5850;tt0095345;I Want to Get Even;Barang Terlarang;1987;87.0;['Crime', 'Thriller'];FR;3.9;56.0;0.0
3671;tt0089939;Rouge midi;Rouge midi;1984;110.0;['Comedy', 'Drama'];FR;5.6;25.0;0.0
3670;tt0089938;Rouge-gorge;Rouge-gorge;1985;105.0;['Drama'];FR;6.6;30.0;0.0
3667;tt0089931;Again, Forever;Roman Behemshechim;1985;91.0;['Drama'];US;6.8;6.0;0.0
3651;tt0089894;Reel Horror;Reel Horror;1985;84.0;['Horror'];US;1.7;185.0;0.0
3637;tt0089863;Young Cops;Qing chun chai guan;1985;87.0;['Action', 'Comedy'];US;6.0;27.0;0.0
5870;tt0095398;Hero of Tomorrow;Gong woo jip ban yan;1988;86.0;['Action', 'Crime'];US;6.0;48.0;0.0
5973;tt0095637;The Microscope;Das Mikroskop;1988;97.0;['Comedy', 'Drama'];US;5.9;48.0;0.0
3460;tt0089419;Kindheit;Kindheit;1987;87.0;['Comedy', 'Drama'];US;7.4;12.0;0.0
5985;tt0095656;Morgan's Cake;Morgan's Cake;1989;87.0;['Comedy', 'Drama'];US;6.1;23.0;0.0
3301;tt0089024;Diesel;Diesel;1985;79.0;['Drama', 'Sci-Fi'];FR;4.0;66.0;0.0
6059;tt0095860;La petite amie;La petite amie;1988;87.0;['Comedy', 'Romance'];FR;5.2;54.0;0.0
3346;tt0089128;Fascinating Affairs;Hua xin hong xing;1985;91.0;['Comedy', 'Romance'];US;5.7;13.0;0.0
3328;tt0089090;The End of the World Man;The End of the World Man;1986;86.0;['Family'];US;5.1;27.0;0.0
3327;tt0089089;In the Shade;En penumbra;1987;89.0;['Drama', 'Romance'];US;4.8;34.0;0.0
3324;tt0089083;The First Two Hundred Years of My Life;Elsö kétszáz évem;1986;104.0;['Drama'];US;7.0;16.0;0.0
3323;tt0089082;Elsa, Elsa;Elsa, Elsa;1985;73.0;['Comedy', 'Romance'];GB;4.5;26.0;0.0
3320;tt0089075;My Family;Ba xi lin men;1986;89.0;['Comedy'];US;5.8;46.0;0.0
6078;tt0095898;Preuve d'amour;Preuve d'amour;1988;89.0;['Thriller'];FR;4.2;27.0;0.0
