,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,region,averageRating,numVotes,weight_average
4430,4430,tt0091871,The Rose King,Der Rosenkönig,1986,106.0,"['Drama', 'Musical']",US,6.5,265.0,3e-05
7055,7055,tt0098557,Under the Boardwalk,Under the Boardwalk,1989,103.0,"['Comedy', 'Romance']",US,5.4,381.0,3e-05
6270,6270,tt0096353,Urusei Yatsura 5: The Final Chapter,Urusei Yatsura 5: Kanketsuhen,1988,85.0,"['Animation', 'Comedy', 'Sci-Fi']",US,7.0,301.0,3e-05
6649,6649,tt0097549,A Handful of Time,En håndfull tid,1989,97.0,['Drama'],FR,6.5,326.0,3e-05
9993,9993,tt0492381,Tomruk,Tomruk,1982,83.0,"['Adventure', 'Drama']",US,6.5,292.0,3e-05
6282,6282,tt0096396,The Witches' Sabbath,La visione del sabba,1988,94.0,['Drama'],US,5.3,330.0,3e-05
5402,5402,tt0094183,Subway to the Stars,Um Trem para as Estrelas,1987,103.0,['Drama'],US,6.5,262.0,3e-05
6444,6444,tt0096999,Bye Bye Blues,Bye Bye Blues,1989,117.0,"['Drama', 'Music', 'Romance']",US,7.2,309.0,3e-05
9505,9505,tt0314722,The Stabilizer,The Stabilizer,1986,87.0,['Action'],US,6.2,328.0,3e-05
7082,7082,tt0098631,Welcome Home,Welcome Home,1989,92.0,['Drama'],US,5.7,375.0,3e-05
9516,9516,tt0317312,Dance Dance,Dance Dance,1987,153.0,"['Action', 'Drama', 'Musical']",GB,6.0,318.0,3e-05
6022,6022,tt0095759,The Bengali Night,La nuit Bengali,1988,153.0,['Drama'],GB,5.9,327.0,3e-05
9523,9523,tt0318346,Cane River,Cane River,1982,104.0,"['Drama', 'Romance']",US,6.7,246.0,3e-05
6048,6048,tt0095835,Patti Rocks,Patti Rocks,1988,86.0,"['Comedy', 'Drama']",US,6.2,323.0,3e-05
6246,6246,tt0096291,Tougher Than Leather,Tougher Than Leather,1988,87.0,"['Crime', 'Drama', 'Music']",US,4.8,351.0,3e-05
5902,5902,tt0095471,A Little Doll,Kukolka,1988,135.0,"['Drama', 'Romance', 'Sport']",US,7.4,303.0,3e-05
5405,5405,tt0094188,The Trouble with Spies,The Trouble with Spies,1987,91.0,"['Action', 'Adventure', 'Comedy']",US,4.2,463.0,3e-05
9356,9356,tt0293905,Pulse Pounders,Pulse Pounders,1988,77.0,"['Fantasy', 'Horror', 'Sci-Fi']",US,6.5,257.0,3e-05
10170,10170,tt1147518,Doraemon: Nobita's Great Adventure into the Underworld,Doraemon: Nobita no makai dai bôken,1984,97.0,"['Adventure', 'Animation', 'Family']",US,7.0,298.0,3e-05
4348,4348,tt0091681,One More Saturday Night,One More Saturday Night,1986,95.0,['Comedy'],US,5.6,309.0,3e-05
4445,4445,tt0091897,Scalps,Scalps,1987,102.0,"['Action', 'Drama', 'Western']",US,5.4,345.0,3e-05
5301,5301,tt0093983,Skeleton Coast,Skeleton Coast,1988,98.0,"['Action', 'History', 'War']",US,4.4,499.0,3e-05
6638,6638,tt0097524,China White,Gwang tin lung fo wooi,1989,104.0,"['Action', 'Romance']",FR,4.7,393.0,3e-05
10168,10168,tt1147515,"Doraemon: The Records of Nobita, Spaceblazer",Doraemon: Nobita no Uchû kaitakushi,1981,90.0,"['Adventure', 'Animation', 'Family']",US,6.7,304.0,3e-05
6036,6036,tt0095806,The Outside Chance of Maximilian Glick,The Outside Chance of Maximilian Glick,1988,97.0,"['Comedy', 'Drama', 'Music']",GB,6.9,249.0,3e-05
5858,5858,tt0095372,Ingen kan älska som vi,Ingen kan älska som vi,1988,101.0,"['Drama', 'Music', 'Romance']",GB,4.3,380.0,3e-05
6226,6226,tt0096250,Testimony,Testimony,1987,157.0,"['Biography', 'Drama', 'History']",GB,7.1,266.0,3e-05
9705,9705,tt0356476,Cold Light of Day,Cold Light of Day,1989,80.0,"['Biography', 'Crime', 'Horror']",US,5.4,364.0,3e-05
9968,9968,tt0469611,Super Mario Brothers: Great Mission to Rescue Princess Peach,Sûpâ Mario burazâzu: Pîchi-hime kyushutsu dai sakusen!,1986,60.0,"['Adventure', 'Animation', 'Comedy']",US,5.6,378.0,3e-05
4305,4305,tt0091583,My Little Girl,My Little Girl,1986,118.0,['Drama'],US,4.9,357.0,3e-05
6615,6615,tt0097456,Grave Secrets,Grave Secrets,1989,90.0,['Horror'],US,4.5,447.0,3e-05
5353,5353,tt0094086,Sweet Lorraine,Sweet Lorraine,1987,91.0,['Drama'],US,6.3,259.0,3e-05
7132,7132,tt0099079,Eight Taels of Gold,Bat leung gam,1989,100.0,"['Comedy', 'Drama', 'Romance']",US,7.2,248.0,3e-05
6042,6042,tt0095825,Party Line,Party Line,1988,91.0,['Thriller'],US,4.8,463.0,3e-05
10100,10100,tt1037724,"Front OK, Behind OK",Depan Bisa Belakang Bisa,1987,86.0,"['Comedy', 'Crime']",US,6.7,249.0,3e-05
10081,10081,tt1003059,Sleepwalker,Sleepwalker,1984,51.0,['Horror'],GB,5.8,362.0,3e-05
7078,7078,tt0098623,Warm Summer Rain,Warm Summer Rain,1989,82.0,"['Drama', 'Romance']",US,4.8,463.0,3e-05
6239,6239,tt0096281,Tokyo Pop,Tokyo Pop,1988,99.0,['Comedy'],US,6.8,244.0,3e-05
4346,4346,tt0091677,On the Edge,On the Edge,1986,95.0,"['Drama', 'Sport']",US,6.7,268.0,3e-05
10071,10071,tt0978648,Travellers of Moonlight,Mosaferan-e mahtab,1988,110.0,"['Comedy', 'Drama', 'Family']",US,6.9,248.0,3e-05
5412,5412,tt0094215,Under Cover,Under Cover,1987,94.0,"['Action', 'Crime', 'Drama']",US,4.9,378.0,3e-05
6656,6656,tt0097574,Up to Date,In una notte di chiaro di luna,1989,110.0,['Drama'],US,6.3,294.0,3e-05
7625,7625,tt0134167,Twisted Nightmare,Twisted Nightmare,1987,95.0,['Horror'],US,4.3,521.0,3e-05
6595,6595,tt0097404,Future Hunters,Future Hunters,1988,96.0,"['Action', 'Adventure', 'Sci-Fi']",US,4.2,483.0,3e-05
4794,4794,tt0092841,Dead Man Walking,Dead Man Walking,1988,90.0,"['Action', 'Sci-Fi']",US,5.0,367.0,3e-05
8175,8175,tt0182479,The Secret of an Old Attic,Tajna starog tavana,1984,101.0,"['Adventure', 'Comedy', 'Family']",US,6.8,294.0,3e-05
6804,6804,tt0097964,New Year's Day,New Year's Day,1989,88.0,"['Comedy', 'Drama']",US,5.7,321.0,3e-05
5681,5681,tt0094946,Dangerous Curves,Dangerous Curves,1988,93.0,['Comedy'],US,3.7,505.0,3e-05
